2019-11-16 05:11:37.957385
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
190,0,78,14,285159,26361,19975,17574,6101,4279,3040,1234
191,0,88,13,92845,21292,2430,4361,1685,1197,2251,497
192,0,97,10,157712,99526,23568,22686,14570,8393,11105,828
193,0,77,4,488033,236637,15167,13149,10496,10798,2012,1733
194,0,67,1,1047754,68233,55692,18818,69219,7435,5574,1779
195,0,64,4,661777,90133,18474,9318,19619,7528,15893,2428
196,0,56,10,1093895,58145,15366,1825,29194,8294,4552,734
197,0,70,13,1007037,240986,52426,63639,81667,15557,33805,2373
198,0,48,11,2096369,332580,5897,28200,60088,18036,45896,3020
199,0,48,20,83641,14533,3003,700,1170,2419,481,300
200,0,61,17,658973,28985,8024,20824,15537,6082,2441,1019
201,0,48,17,441824,154680,7162,14344,7717,8510,3704,1062
202,0,66,24,130187,8669,939,4315,2952,1326,440,286
203,0,70,17,222601,61692,6115,14389,4929,5303,3192,1297
204,0,50,20,292799,82472,3954,6714,9609,9374,16648,930
205,0,66,21,1059805,94105,28449,24771,5494,9005,1981,837
206,0,50,16,1439244,178094,10729,10545,8080,11106,8532,701
207,0,50,16,1315629,65665,2927,9744,9903,5294,2343,518
208,26,50,16,1842890,269738,71581,110510,102592,55949,21170,4046
209,26,61,13,1252906,596292,322261,321105,101937,56187,22947,9613
210,0,67,14,544005,21739,1540,4003,4329,3560,947,570
211,0,67,14,1617621,103861,6705,9834,6733,18442,7327,3435
212,26,67,14,2033202,36372,3141,8962,11727,22102,3634,4080
213,26,50,44,948290,17855,1247,6798,20057,39988,10677,1179
214,0,50,44,873952,14891,2070,2139,5825,2083,7181,479
215,26,50,44,725901,20945,247,3198,15372,4347,5851,1021
216,26,50,44,1093892,14593,1763,4081,7830,4359,2484,540
217,26,50,44,871940,16090,3957,1567,2819,3762,2397,1253
218,51,50,44,141530,37777,2295,2996,2665,539,435,271
219,25,56,51,1665612,64078,7873,12882,50768,9342,49310,1068
220,0,20,84,1973919,18590,561,4748,18434,88698,1926,1068
221,0,20,84,222917,6331,858,2082,8276,16695,1177,627
222,26,40,90,759859,36937,48346,30389,9649,40816,9563,1752
223,0,40,90,432246,4554,3160,6609,22236,7535,3717,746
224,26,64,66,486686,20891,37269,9711,18855,14121,16943,3279
225,0,64,66,665716,5161,737,1285,1546,2043,14148,213
226,26,64,80,1139702,15684,753,12887,47046,27180,12736,3259
227,0,84,74,2225257,10451,1623,14494,20797,44120,5157,1126
228,0,84,74,2014379,20129,14745,21064,31046,7368,13058,4221
229,26,61,84,1023712,11406,2381,4810,19616,24771,3856,2083
230,0,47,83,1419089,66968,17051,7585,18264,15789,26118,1803
231,0,57,81,2756494,22843,18168,6648,6480,31570,8758,915
232,0,51,63,549630,14655,2315,450,5141,3292,15542,514
233,0,51,63,684541,4007,400,646,2954,5491,2922,838
234,26,51,63,44814,1519,592,1553,2430,2333,554,216
235,26,63,51,561854,11643,5464,3877,8002,5976,6475,148
236,0,56,64,51502,13653,1752,3145,2888,17825,564,260
237,0,43,51,1996550,78372,6309,8911,15595,13257,35296,2112
238,0,51,53,1767067,55801,5526,16053,10336,17485,15940,1201
239,0,37,74,1331443,9545,5238,4328,31025,57554,5108,2439
240,0,44,60,1717106,33968,12003,11139,35328,11135,27151,3004
241,0,48,70,2016625,42560,2548,10777,7048,29531,16739,887
242,0,48,70,109983,8100,1182,968,10148,2881,9838,1032
243,26,44,66,99390,22373,2507,2957,3019,3454,3885,518
244,0,50,38,407210,19524,2649,2077,6643,1773,2784,531
245,0,47,47,781760,23690,11235,4606,31990,23216,17861,1812
246,0,54,51,442692,3548,2459,1793,2186,7425,5958,335
247,0,54,51,774573,12154,1933,1303,5835,3303,5426,229
248,26,54,61,35606,7341,2706,1090,9094,6077,3690,1356
249,0,54,61,690685,13829,1812,1095,7630,4030,2403,180
250,26,64,74,1372215,55468,19413,24251,20715,32020,12483,1926
251,0,67,63,58136,9531,4122,1062,7127,2183,1843,613
252,0,67,63,407082,9114,684,2173,9452,4455,3223,271
253,26,67,63,97226,2073,846,393,1893,685,939,185
254,26,67,64,678483,2263,3491,1911,3755,8807,5169,256
255,0,75,54,884508,69611,17713,10981,13055,15402,9859,1638
256,0,77,50,713789,9476,4847,2651,5201,3041,1409,201
257,0,69,66,1659102,7358,2145,4131,8813,17080,22182,2765
258,0,69,66,6701,1009,192,366,684,6554,73,131
259,26,69,66,111424,19170,2974,2550,2481,15751,1003,156
260,26,64,54,382767,14974,3125,3607,7702,6253,8033,188
261,0,64,54,41794,2531,639,152,1783,711,914,174
262,26,64,64,17471,9597,8048,1752,8213,11186,1623,967
263,0,61,74,604409,24779,10242,6895,14728,18204,9167,763
264,0,77,53,1410562,35499,11332,24524,10776,8147,25576,1549
265,0,84,53,2296643,30640,12619,13749,14402,14597,25575,1504
266,0,78,47,586520,10772,1423,2307,4771,3485,4696,168
267,0,78,47,55226,6711,2278,2489,4101,23062,266,489
268,26,70,35,1102917,225468,8661,39089,33744,29408,6345,3018
269,0,70,35,1110310,23427,11837,5858,6169,4410,3684,984
270,26,56,38,894247,90945,8165,17733,10981,18878,17485,1624
271,0,43,41,1458053,44860,940,7502,4742,22560,25431,1008
272,0,53,43,1664400,17740,18446,5708,20285,12651,13317,1819
273,0,48,51,136006,13820,500,1600,3178,4280,2422,736
