2019-11-14 04:57:30.247191
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
181,200,0,0,140470,67813,11913,8253,4623,92784,66539,7115
182,200,0,0,180328,57601,9855,4686,5899,73268,30028,12498
183,200,0,0,509475,22234,16472,2078,5999,41759,40786,4836
184,200,0,0,75977,13014,878,1203,2030,16043,10352,1203
185,200,0,0,140895,30348,14909,5247,5379,161517,64367,4151
186,200,0,0,214493,51894,15223,3727,3579,74788,36338,9480
187,200,0,0,570434,26648,13421,5357,13373,84292,32164,17527
188,200,0,0,74940,13246,1473,1399,1747,17679,6389,1892
189,200,0,0,178170,26103,15575,7440,4872,162639,70103,5741
190,200,0,0,173050,28270,8341,1883,4783,108190,39859,23041
191,200,0,0,290978,10656,5208,2490,7490,136610,20071,13223
192,200,0,0,1888143,111829,50985,8921,78846,192040,149493,39825
193,200,0,0,619612,182857,430477,177816,110960,215188,92017,67183
194,200,0,0,1614994,548627,327963,294658,280872,159913,58058,55503
195,200,0,0,591897,26112,18412,15710,35934,49994,60271,18025
196,200,0,0,464815,10617,11095,10090,24581,27966,15486,26869
197,200,0,0,1275757,327361,61936,126102,439479,162888,101850,131033
198,200,0,0,752812,67908,206192,128201,95100,206412,167937,190081
199,200,0,0,610263,28226,17239,25053,52371,29024,81847,10167
200,200,0,0,576842,85937,14032,23287,9344,31260,37536,13517
201,200,0,0,1729778,421754,88616,78922,53817,65472,81519,100050
202,200,0,0,425636,145611,27671,90051,151062,44254,104414,119081
203,200,0,0,604610,21007,27612,28820,22418,15159,30650,13991
204,200,0,0,72447,1450,3000,2705,4995,1191,943,1592
205,80,0,0,916945,536227,45076,44031,67093,64939,174039,126370
206,51,0,0,617137,210129,75913,41525,42527,73076,27142,55179
207,51,0,0,370248,492938,27561,35205,34692,82008,83290,96835
208,26,0,0,956444,27314,2651,17053,7376,11608,9804,9734
209,26,0,0,880713,49670,21967,41472,14745,28686,37278,19913
210,26,0,0,882551,155201,109013,43032,59746,62432,139150,93878
211,26,0,0,180375,3311,982,2498,5889,3653,2371,1774
212,26,0,0,1580967,584288,221982,218249,129378,87720,45601,115224
213,26,0,0,729263,404017,558418,129819,138919,108257,89183,45217
214,26,0,0,307216,152263,119793,134860,99164,182596,181655,181950
215,26,0,0,1381938,779580,19386,68199,38335,60733,45692,159864
216,26,0,0,831624,215600,31191,69512,90622,104772,71703,102311
217,26,0,0,235030,51040,28844,17586,29957,7523,14643,13717
218,26,0,0,582526,786034,554639,839343,201854,417757,113422,408442
219,26,0,0,297311,59597,159092,110173,35275,53285,55196,37273
220,26,0,0,1095360,369403,618088,962898,387509,260293,188341,203795
221,26,0,0,1378838,181123,120136,133654,89354,73331,56954,21720
222,26,0,0,523071,28971,8908,5659,12240,28229,23029,19960
223,51,0,0,415818,43607,96009,46449,62457,55569,96225,77845
224,26,0,0,860696,41182,25026,59806,18440,34828,83279,26356
225,26,0,0,109458,63552,10463,37957,8466,29977,12572,28937
226,26,0,0,563656,99120,143626,99016,172603,270959,146988,173057
227,51,0,0,528465,186507,54869,152584,75032,104311,108818,91993
228,26,0,0,855875,31156,76904,48060,100132,242190,222019,60099
229,26,0,0,949428,77763,48228,51116,54966,95918,112884,47408
230,26,0,0,468495,96571,17344,39252,85832,213793,107938,144582
231,26,0,0,394824,106537,60711,110215,95900,59088,48152,64324
232,26,0,0,355001,77819,21210,71535,136306,99806,53535,69442
233,26,0,0,259566,172429,203710,101999,36217,95042,57277,107812
234,26,0,0,629108,36587,12160,36149,48015,26809,23297,13491
235,26,0,0,675413,9568,2928,4899,16089,9604,18426,10858
236,26,0,0,1059317,24015,21494,20614,23165,24615,12673,9073
237,26,0,0,1694994,85522,22676,12411,29964,16587,23530,41095
238,26,0,0,899424,35707,25514,12319,72739,82935,49593,50423
239,26,0,0,1079931,31793,1783,14421,38582,38257,28298,22712
240,26,0,0,280152,241094,66279,193252,25457,111546,128191,107463
241,26,0,0,1064300,15521,16170,23409,12794,20434,59394,6474
242,26,0,0,800527,15626,25588,60018,73218,53937,42702,22303
243,26,0,0,1232738,28688,22235,45712,45307,8151,24805,10115
244,26,0,0,1009191,33840,22363,37613,16275,19984,12868,35624
245,26,0,0,1902635,43446,1791,2493,23305,32124,27364,2213
246,0,0,0,231350,76836,5825,16838,7575,7354,4709,1524
247,0,0,0,682737,14337,4909,17266,22276,11030,8774,15001
248,26,0,0,222965,62936,159111,122256,37260,49272,100158,55328
249,26,0,0,560583,63197,57501,57648,14173,63953,32663,73995
250,26,0,0,649971,15773,39307,18249,29057,68728,59010,21132
251,26,0,0,757155,24390,18721,6883,25153,63215,17212,29795
252,26,0,0,345186,22938,294,4347,2048,4659,1915,329
253,26,0,0,528919,27327,3367,4150,4777,1165,792,1179
254,0,64,78,493984,24117,3504,2949,5048,8527,2732,947
255,0,83,51,623459,14513,9242,4390,10166,1791,995,341
256,0,97,43,2743099,48289,8010,42030,26517,15109,3542,5767
257,0,100,41,1646716,60028,16924,18178,16622,6343,2484,1514
258,0,100,41,738412,220492,16432,27339,28527,13888,9813,3423
259,26,100,35,1646644,97262,45516,43321,46760,20501,37276,3280
260,0,100,35,793360,27737,7938,3518,16181,4941,14846,1552
261,26,100,35,1720440,22239,8199,11327,63407,25853,36040,4277
262,26,100,35,2170499,39892,6423,9716,63746,26907,23449,4352
263,26,100,35,1311952,5100,1491,1708,10494,12218,874,387
264,26,100,35,139904,2783,2582,1266,4298,3888,113,242
265,26,100,35,1532169,60778,32637,52597,46393,33633,19600,19213
266,51,100,35,805681,174021,3759,17223,20048,21476,20966,5904
267,25,100,35,800785,79843,1110,2840,16583,7838,7759,407
268,26,100,35,830761,42464,2026,19128,16887,53161,29406,6244
269,26,100,35,231309,15864,4632,5714,4166,7969,10699,16596
270,26,100,35,875733,42001,11972,9449,25293,46117,48991,6984
271,26,100,35,90690,2040,492,1775,7319,9613,10975,1433
272,26,100,35,1393973,20032,288,12489,23160,22820,6509,2161
273,26,100,35,1066050,12781,6617,2046,27134,37219,4363,3583
274,26,100,35,1140078,14184,7488,937,14223,24745,16743,4950
275,26,100,35,805962,57512,4703,7168,21828,29626,4736,3280
276,26,100,35,75866,5690,1918,1931,6435,6616,3849,4458
277,26,100,35,157287,3133,781,2513,6609,14409,16022,3597
278,26,100,35,1073467,11934,4890,5755,29209,35303,2738,1427
279,26,100,35,1302709,4554,1922,1135,18633,12327,3346,1271
280,26,100,35,133806,596,191,385,1955,3702,1638,63
281,26,100,37,1317469,88490,33725,18100,31862,11298,28415,4644
